task,full,effectively_relevant_unscoped,effectively_relevant_scoped
driverlog15,2.9712501356326614e+21,2.9712501356326614e+21,2833604941971456.0
driverlog16,2.8534188390912e+27,2.8534188390912e+27,5573083670100000.0
driverlog17,8.690725460080394e+35,8.690725460080394e+35,1.2757530337869824e+16
gripper04,14289858.0,14289858.0,14289858.0
gripper05,179627058.0,179627058.0,179627058.0
gripper06,2152336050.0,2152336050.0,2152336050.0
logistics15,2.2899384412078526e+21,2.2899384412078526e+21,1135885600.0
logistics20,2.2899384412078526e+21,2.2899384412078526e+21,1135885600.0
logistics25,2.2899384412078526e+21,2.2899384412078526e+21,19310055200.0
satellite05,134217728000000.0,2097152000000.0,2097152000.0
satellite06,168874213376.0,1319329792.0,10903552.0
satellite07,4809263859892224.0,37572373905408.0,21743271936.0
zenotravel10,719323136000.0,719323136000.0,11239424000.0
zenotravel12,1.5482251172118528e+16,1.5482251172118528e+16,746636341248.0
zenotravel14,6.46117541015625e+19,6.46117541015625e+19,85085437500000.0
